代號,名稱,年度,季別,營業活動之淨現金流入（流出）
8182,加高,109,Q4,319782.00
8182,加高,109,Q3,224358.00
8183,精星,109,Q1,101612.00
8183,精星,109,Q4,195873.00
8183,精星,109,Q2,95021.00
8183,精星,109,Q3,178110.00
8201,無敵,109,Q2,55534.00
8201,無敵,109,Q3,78777.00
8201,無敵,109,Q1,40181.00
8201,無敵,109,Q4,138176.00
8210,勤誠,109,Q2,89615.00
8210,勤誠,109,Q1,191111.00
8210,勤誠,109,Q4,330588.00
8210,勤誠,109,Q3,290228.00
8213,志超,109,Q1,90145.00
8213,志超,109,Q4,2069397.00
8213,志超,109,Q2,-60168.00
8213,志超,109,Q3,885903.00
8215,明基材,109,Q4,1103302.00
8215,明基材,109,Q1,237110.00
8215,明基材,109,Q2,468448.00
8215,明基材,109,Q3,1042618.00
8222,寶一,109,Q2,14287.00
8222,寶一,109,Q3,-24084.00
8222,寶一,109,Q4,21864.00
8222,寶一,109,Q1,-1650.00
8227,巨有科技,109,Q4,36875.00
8227,巨有科技,109,Q2,32367.00
8234,新漢,109,Q4,926993.00
8234,新漢,109,Q3,572530.00
8234,新漢,109,Q2,333657.00
8234,新漢,109,Q1,338735.00
8240,華宏,109,Q4,202942.00
8240,華宏,109,Q2,120024.00
8240,華宏,109,Q3,337000.00
8240,華宏,109,Q1,-214809.00
8249,菱光,109,Q2,175570.00
8249,菱光,109,Q3,241757.00
8249,菱光,109,Q1,-24122.00
8249,菱光,109,Q4,341119.00
8255,朋程,109,Q1,148169.00
8255,朋程,109,Q4,496518.00
8255,朋程,109,Q3,324421.00
8255,朋程,109,Q2,217327.00
8261,富鼎,109,Q2,170436.00
8261,富鼎,109,Q4,412807.00
8261,富鼎,109,Q3,262855.00
8261,富鼎,109,Q1,153440.00
8271,宇瞻,109,Q2,-215171.00
8271,宇瞻,109,Q3,65193.00
8271,宇瞻,109,Q4,337211.00
8271,宇瞻,109,Q1,-384752.00
8277,商丞,109,Q1,-16849.00
8277,商丞,109,Q3,-42334.00
8277,商丞,109,Q2,-31484.00
8277,商丞,109,Q4,-33430.00
8279,生展,109,Q1,2006.00
8279,生展,109,Q4,220200.00
8279,生展,109,Q3,64997.00
8279,生展,109,Q2,10763.00
8284,三竹,109,Q3,38923.00
8284,三竹,109,Q4,144556.00
8284,三竹,109,Q1,-34900.00
8284,三竹,109,Q2,7635.00
8289,泰藝,109,Q1,-22371.00
8289,泰藝,109,Q3,1985.00
8289,泰藝,109,Q4,68931.00
8289,泰藝,109,Q2,-9077.00
8291,尚茂,109,Q2,74960.00
8291,尚茂,109,Q4,82729.00
8291,尚茂,109,Q1,42122.00
8291,尚茂,109,Q3,71725.00
8299,群聯,109,Q2,1951503.00
8299,群聯,109,Q1,-9449.00
8299,群聯,109,Q4,6602126.00
8299,群聯,109,Q3,4235420.00
8341,日友,109,Q3,575631.00
8341,日友,109,Q4,1282721.00
8341,日友,109,Q1,270810.00
8341,日友,109,Q2,510036.00
8342,益張,109,Q3,248367.00
8342,益張,109,Q1,111194.00
8342,益張,109,Q2,117721.00
8342,益張,109,Q4,107757.00
8349,�矬ㄟ篕�,109,Q2,435539.00
8349,�矬ㄟ篕�,109,Q3,780564.00
8349,�矬ㄟ篕�,109,Q4,955358.00
8349,�矬ㄟ篕�,109,Q1,351565.00
8354,冠好,109,Q1,55881.00
8354,冠好,109,Q2,9020.00
8354,冠好,109,Q3,127351.00
8354,冠好,109,Q4,148354.00
